Rainfall,Temp_min,Temp_max,Hum_min,Hum_max,Time,Power
158.4000008,10.6,19.9,76.6,87.8,2013-January,524501
141.7000021,10.3,20.1,78.6,88.7,2013-February,460880
153.4000005,11.5,21.7,78.4,90.1,2013-March,519945
102.8999991,11.4,23.1,74.8,90.4,2013-April,452010
148.5000005,14,21.4,85.4,95,2013-May,1487403
337.8000011,13.6,17.5,92.4,95.5,2013-June,2951680
167.1000017,13.4,17.8,90.3,94.7,2013-July ,3258958
165.5999999,12.9,19.5,83.7,93.6,2013-August,2084777
149.2999996,12.5,18.7,85.3,93.2,2013-September,2610198
173.9999985,12.1,20,82.3,92.4,2013-October,4550250
173.0999988,11.4,20.1,80.4,92.2,2013-November,979851
,11.1,19.2,84.4,92,2013-December,558220
22,10.5,19.8,81.3,92.4,2014-January,691520
20.0999999,9.7,21.5,64.1,74.5,2014-February,390349
50.40000057,11.3,21.7,66.1,74.7,2014-March,2132460
149.2,11.3,22.8,70.8,89.4,2014-April,4315741
178.7999995,13,22.2,80.4,92.1,2014-May,868319
,14,19,86.1,92.4,2014-June,2666840
82.9999995,13.7,18.3,85.9,92.3,2014-July ,2499591
74.09999979,13.2,19.3,83.3,90.9,2014-August,2559410
171.5999998,12.9,19.5,82,93,2014-September,1531560
249.2000005,12.7,20.6,82.9,94,2014-October,1766299
186.2000002,12.5,19.2,83.9,91,2014-November,1253200
430.8000001,12.9,18.9,89.1,95.8,2014-December,1039481
6.299999952,9.1,20.6,74.6,91.3,2015-January,405189
83.79999991,10,19.7,77.3,85.4,2015-February,337301
67.79999995,10.5,21.7,63.8,77.6,2015-March,214260
138.4000001,12.1,22,77.3,93.6,2015-April,432480
271.2,13.4,21.8,81.6,92.8,2015-May,431399
113.6999998,14,20.2,81.3,88.9,2015-June,965100
124.3999996,13.4,19.4,82.7,89.9,2015-July ,1975130
117.2000003,13.5,19.8,81.8,91.9,2015-August,1253120
312.5999985,13.4,20.4,85.1,93.7,2015-September,1767760
472,13.1,20.7,85.5,95.5,2015-October,2227164
338.4999982,12.9,20.5,85.1,96.1,2015-November,2056308
277.7000022,12.2,19.7,87.4,95.4,2015-December,990782
105.2000003,10.7,21.2,72.4,83.4,2016-January,256327
82.70000052,11.6,21.2,68,79,2016-February,166101
59.5,11,23.5,59.4,74.1,2016-March,112704
53,11.7,24,70.9,92.4,2016-April,209603
385.0000019,14.3,20.7,86.1,93.6,2016-May,1982432
44.69999981,14.2,18.6,86.7,92.5,2016-June,2217200
152.0000014,13.7,19.2,84.5,90.7,2016-July ,977508
46.60000014,13.5,18.9,85.4,92.2,2016-August,1019361
31.5,13.2,19.1,82.1,88.9,2016-September,897979
48.5,11.7,20.3,78.2,92.8,2016-October,1016166
109.6000001,12.3,20,80.4,87.8,2016-November,1157681
71.30000021,10.9,20.4,72.9,84.3,2016-December,256096
253,9,19.8,73.3,83.8,2017-January,137014
120,8.9,21,63.3,70,2017-February,77164
172,10.7,21.8,69.6,84.7,2017-March,222760
16.5,10,23.2,60,83.4,2017-April,208152
203.7000008,13.3,21.7,80.5,94.2,2017-May,4205142
73,14.1,19.5,,,2017-June,2215684
49,13.9,20.6,80.4,90.4,2017-July ,1372996
159.5,13.9,19.7,85.1,93,2017-August,2670771
140.0000005,13.4,19.8,85.4,92.5,2017-September,2422304
236.9999998,13.6,19.9,85.8,95,2017-October,2628849
288,12.7,19.5,81.9,91.6,2017-November,1601985
125,11.8,20,82.7,92.7,2017-December,4121166
98,9.8,20.4,68.3,80.4,2018-January,318534
76.5,11.2,21,73.1,83.4,2018-February,190532
85.5,11.3,21.5,71.1,84.5,2018-March,272157
306.5,12.1,22.4,76.4,91.4,2018-April,473454
406.499999,13.4,21,86.3,95.8,2018-May,1573782
152.900001,14.1,18.5,89.5,,2018-June,2862347
112.1000005,13.3,18.5,86.6,,2018-July ,2485378
128.8000017,13.2,18.3,87.1,94,2018-August,2841860
172.000001,12.1,20.3,80,92.1,2018-September,927715
320.7000027,12.4,20.1,86.3,95.9,2018-October,1847122
177.400001,12.1,19.7,81.3,92.9,2018-November,968949
58.60000157,10.7,19.8,74.2,84,2018-December,598131
98,8.7,20.7,71.1,85.3,2019-January,216767
39,11.5,20.4,76.1,86.1,2019-February,238157
0,10,23,54.5,71.9,2019-March,97442
51.39999998,11.8,22.9,71.2,89.9,2019-April,220245
104.9000006,12.4,22.9,73.3,89.5,2019-May,335567
45.5999999,14.5,20.5,78.8,89.3,2019-June,1188600
164.8000016,13.5,20.4,77.5,88.6,2019-July ,1427340
145.9999971,13.7,18.7,84.6,92.1,2019-August,2218409
113.3000007,,,,93.9,2019-September,2164213
408.8000011,12.4,19.6,86.5,95.5,2019-October,2830167
352.8000011,12.3,19.9,84.8,94.6,2019-November,1686574
332.4000044,12,19,86.4,94.5,2019-December,1255055
20.4000001,10.7,20.7,70.1,76.2,2020-January,309797
31.10000038,10,20.8,70.3,86.6,2020-February,104962
0,10.6,23.2,54.6,70.4,2020-March,76160
67.40000105,11.6,23.3,67.9,88,2020-April,107450
114.1999996,13.9,21.7,82,93.5,2020-May,1628430
60.09999943,14.1,20.1,79.7,87.8,2020-June,1934892
,13.5,20,82.7,90.7,2020-July ,1599392
225,12.6,19.7,82.3,91.4,2020-August,2197343
230.7999983,13.4,18.2,89.6,93.7,2020-September,2399007
,12.4,19.6,80.2,89.9,2020-October,2096325
215.0999994,12.8,20.5,82.3,93.3,2020-November,799817
193.099999,11.4,19.7,81,92.7,2020-December,812722
111.1999998,11.7,19.4,82.9,91.1,2021-January,543389
68.70000029,9.6,21.2,71.5,80.4,2021-February,286098
129.5,11.3,21,70.2,79.9,2021-March,368260
117,10.7,22.5,70.8,88.3,2021-April,657793
119,13.5,20.9,83.6,93.9,2021-May,2235926
100.7000004,13.2,20.4,78.9,89.5,2021-June,2408548
214.8999972,13.6,19.5,84.8,92.8,2021-July ,2317019
114.3999997,13.7,19,86.5,94.2,2021-August,2604565
118.8999992,13.4,19.5,86.6,94,2021-September,2671033
433.799999,13.3,19.8,86,94.4,2021-October,3143808
279.0000031,13.2,19.2,86.9,94.3,2021-November,2923788
,10.5,20.4,76.5,87.9,2021-December,1048893
